"DateTime","Players","Average Players"
"2024-12-06 00:00:00",444286,303973
"2024-12-07 00:00:00",430435,348788
"2024-12-08 00:00:00",480990,387044
"2024-12-09 00:00:00",452007,328342
"2024-12-10 00:00:00",417525,327270
"2024-12-10 01:00:00",447686,326124
"2024-12-10 02:00:00",460883,325241
"2024-12-10 03:00:00",460436,324598
"2024-12-10 04:00:00",436576,323932
"2024-12-10 05:00:00",397646,323407
"2024-12-10 06:00:00",334877,322985
"2024-12-10 07:00:00",276763,322681
"2024-12-10 08:00:00",236351,322451
"2024-12-10 09:00:00",169534,322178
"2024-12-10 10:00:00",181924,323580
"2024-12-10 11:00:00",203540,324037
"2024-12-10 12:00:00",238427,324490
"2024-12-10 13:00:00",277588,325089
"2024-12-10 14:00:00",297210,325788
"2024-12-10 15:00:00",296753,326403
"2024-12-10 16:00:00",290200,327011
"2024-12-10 17:00:00",305387,327631
"2024-12-10 18:00:00",328757,328235
"2024-12-10 19:00:00",347944,328694
"2024-12-10 20:00:00",361599,329177
"2024-12-10 21:00:00",363343,329584
"2024-12-10 22:00:00",363139,329977
"2024-12-10 23:00:00",360395,330373
"2024-12-11 00:00:00",386570,330753
"2024-12-11 01:00:00",422372,331035
"2024-12-11 02:00:00",441152,331315
"2024-12-11 03:00:00",440642,331626
"2024-12-11 04:00:00",421216,331902
"2024-12-11 05:00:00",386571,331982
"2024-12-11 06:00:00",328386,331829
"2024-12-11 07:00:00",273380,331621
"2024-12-11 08:00:00",233989,331408
"2024-12-11 09:00:00",207661,331248
"2024-12-11 10:00:00",196605,331080
"2024-12-11 11:00:00",217145,330920
"2024-12-11 12:00:00",254476,330741
"2024-12-11 13:00:00",295556,330583
"2024-12-11 14:00:00",313172,330328
"2024-12-11 15:00:00",312805,330175
"2024-12-11 16:00:00",306138,329989
"2024-12-11 17:00:00",320210,329824
"2024-12-11 18:00:00",339469,329602
"2024-12-11 19:00:00",358843,329274
"2024-12-11 20:00:00",370589,329004
"2024-12-11 21:00:00",372013,328945
"2024-12-11 22:00:00",371980,328849
"2024-12-11 23:00:00",370944,328721
"2024-12-12 00:00:00",394627,328468
"2024-12-12 01:00:00",430268,327313
"2024-12-12 02:00:00",449895,324519
"2024-12-12 03:00:00",448409,321146
"2024-12-12 04:00:00",424007,317782
"2024-12-12 05:00:00",383349,315631
"2024-12-12 06:00:00",323663,314875
"2024-12-12 07:00:00",268502,314693
"2024-12-12 08:00:00",228538,314612
"2024-12-12 09:00:00",203015,314612
"2024-12-12 10:00:00",192163,314463
"2024-12-12 11:00:00",212052,314451
"2024-12-12 12:00:00",249737,314538
"2024-12-12 13:00:00",288407,314445
"2024-12-12 14:00:00",308561,314465
"2024-12-12 15:00:00",307284,314725
"2024-12-12 16:00:00",301145,315197
"2024-12-12 17:00:00",313989,315878
"2024-12-12 18:00:00",330455,316164
"2024-12-12 19:00:00",351393,316133
"2024-12-12 20:00:00",368480,315977
"2024-12-12 21:00:00",368951,315943
"2024-12-12 22:00:00",367912,316453
"2024-12-12 23:00:00",363825,316988
"2024-12-13 00:00:00",364287,317418
"2024-12-13 01:00:00",357574,317490
"2024-12-13 02:00:00",362133,318570
"2024-12-13 03:00:00",360967,320537
"2024-12-13 04:00:00",368138,323361
"2024-12-13 05:00:00",363512,326053
"2024-12-13 06:00:00",318703,328699
"2024-12-13 07:00:00",266188,331698
"2024-12-13 08:00:00",228285,334675
"2024-12-13 09:00:00",198872,337164
"2024-12-13 10:00:00",191667,339202
"2024-12-13 11:00:00",214090,340694
"2024-12-13 12:00:00",247326,341969
"2024-12-13 13:00:00",288721,343302
"2024-12-13 14:00:00",315293,344701
