"DateTime","Positive reviews","Negative reviews"
"2020-11-05 00:00:00",2480,-266
"2020-11-06 00:00:00",7401,-937
"2020-11-07 00:00:00",10088,-1255
"2020-11-08 00:00:00",12620,-1520
"2020-11-09 00:00:00",15338,-1789
"2020-11-10 00:00:00",17735,-1967
"2020-11-11 00:00:00",19421,-2096
"2020-11-12 00:00:00",20828,-2193
"2020-11-13 00:00:00",22147,-2296
"2020-11-14 00:00:00",23330,-2416
"2020-11-15 00:00:00",24447,-2506
"2020-11-16 00:00:00",25692,-2624
"2020-11-17 00:00:00",26695,-2732
"2020-11-18 00:00:00",28033,-2820
"2020-11-19 00:00:00",29080,-2880
"2020-11-20 00:00:00",29848,-2942
"2020-11-21 00:00:00",30603,-2987
"2020-11-22 00:00:00",31370,-3045
"2020-11-23 00:00:00",32217,-3127
"2020-11-24 00:00:00",32968,-3181
"2020-11-25 00:00:00",33694,-3249
"2020-11-26 00:00:00",57613,-3962
"2020-11-27 00:00:00",64249,-4151
"2020-11-28 00:00:00",68844,-4288
"2020-11-29 00:00:00",72730,-4429
"2020-11-30 00:00:00",76015,-4551
"2020-12-01 00:00:00",79458,-4678
"2020-12-02 00:00:00",81945,-4800
"2020-12-03 00:00:00",83031,-4919
"2020-12-04 00:00:00",83498,-4956
"2020-12-05 00:00:00",83984,-5000
"2020-12-06 00:00:00",84473,-5062
"2020-12-07 00:00:00",84975,-5110
"2020-12-08 00:00:00",85581,-5149
"2020-12-09 00:00:00",86104,-5214
"2020-12-10 00:00:00",86536,-5268
"2020-12-11 00:00:00",86969,-5304
"2020-12-12 00:00:00",87393,-5354
"2020-12-13 00:00:00",87907,-5408
"2020-12-14 00:00:00",88360,-5452
"2020-12-15 00:00:00",88805,-5500
"2020-12-16 00:00:00",89204,-5541
"2020-12-17 00:00:00",89603,-5595
"2020-12-18 00:00:00",89991,-5636
"2020-12-19 00:00:00",90674,-5711
"2020-12-20 00:00:00",91027,-5763
"2020-12-21 00:00:00",91523,-5812
"2020-12-22 00:00:00",91924,-5863
"2020-12-23 00:00:00",92433,-5917
"2020-12-24 00:00:00",92911,-5954
"2020-12-25 00:00:00",93353,-5988
"2020-12-26 00:00:00",93862,-6035
"2020-12-27 00:00:00",94363,-6111
"2020-12-28 00:00:00",95039,-6191
"2020-12-29 00:00:00",95540,-6248
"2020-12-30 00:00:00",96027,-6296
"2020-12-31 00:00:00",96480,-6347
"2021-01-01 00:00:00",96480,-6347
"2021-01-02 00:00:00",97395,-6425
"2021-01-03 00:00:00",97944,-6467
"2021-01-04 00:00:00",98567,-6531
"2021-01-05 00:00:00",99172,-6612
"2021-01-06 00:00:00",100515,-6723
"2021-01-07 00:00:00",101053,-6798
"2021-01-08 00:00:00",101560,-6874
"2021-01-09 00:00:00",102035,-6951
"2021-01-10 00:00:00",102496,-7042
"2021-01-11 00:00:00",103358,-7240
"2021-01-12 00:00:00",103821,-7338
"2021-01-13 00:00:00",104199,-7429
"2021-01-14 00:00:00",104596,-7491
"2021-01-15 00:00:00",105118,-7534
"2021-01-16 00:00:00",105620,-7606
"2021-01-17 00:00:00",106049,-7642
"2021-01-18 00:00:00",106049,-7642
"2021-01-19 00:00:00",106992,-7737
"2021-01-20 00:00:00",107452,-7791
"2021-01-21 00:00:00",108175,-7895
"2021-01-22 00:00:00",108509,-7928
"2021-01-23 00:00:00",108901,-7964
"2021-01-24 00:00:00",109285,-8011
"2021-01-25 00:00:00",109920,-8080
"2021-01-26 00:00:00",110402,-8131
"2021-01-27 00:00:00",110902,-8192
"2021-01-28 00:00:00",111335,-8245
"2021-01-29 00:00:00",111766,-8308
"2021-01-30 00:00:00",112195,-8351
"2021-01-31 00:00:00",112677,-8389
"2021-02-01 00:00:00",113160,-8444
"2021-02-02 00:00:00",114005,-8494
"2021-02-03 00:00:00",117117,-8640
"2021-02-04 00:00:00",118132,-8820
"2021-02-05 00:00:00",118872,-8981
"2021-02-06 00:00:00",119510,-9096
"2021-02-07 00:00:00",120213,-9199
"2021-02-08 00:00:00",121582,-9396
"2021-02-09 00:00:00",122340,-9492
"2021-02-10 00:00:00",123091,-9620
"2021-02-11 00:00:00",123757,-9705
"2021-02-12 00:00:00",123757,-9705
"2021-02-13 00:00:00",123757,-9705
"2021-02-14 00:00:00",126262,-10107
"2021-02-15 00:00:00",126262,-10107
