"DateTime","Positive reviews","Negative reviews"
"2016-09-16 00:00:00",14,-5
"2016-09-17 00:00:00",347,-64
"2016-09-18 00:00:00",1853,-325
"2016-09-19 00:00:00",3950,-784
"2016-09-20 00:00:00",5184,-1046
"2016-09-21 00:00:00",6241,-1207
"2016-09-22 00:00:00",7258,-1375
"2016-09-23 00:00:00",8246,-1538
"2016-09-24 00:00:00",9165,-1682
"2016-09-25 00:00:00",10419,-1870
"2016-09-26 00:00:00",11711,-2099
"2016-09-27 00:00:00",12500,-2241
"2016-09-28 00:00:00",13191,-2348
"2016-09-29 00:00:00",14187,-2428
"2016-09-30 00:00:00",15429,-2535
"2016-10-01 00:00:00",16272,-2627
"2016-10-02 00:00:00",17130,-2757
"2016-10-03 00:00:00",18123,-2891
"2016-10-04 00:00:00",18793,-2960
"2016-10-05 00:00:00",19467,-3021
"2016-10-06 00:00:00",20073,-3113
"2016-10-07 00:00:00",20593,-3186
"2016-10-08 00:00:00",21090,-3250
"2016-10-09 00:00:00",21809,-3334
"2016-10-10 00:00:00",22585,-3416
"2016-10-11 00:00:00",23186,-3462
"2016-10-12 00:00:00",23727,-3523
"2016-10-13 00:00:00",24180,-3585
"2016-10-14 00:00:00",24670,-3627
"2016-10-15 00:00:00",25220,-3702
"2016-10-16 00:00:00",25909,-3796
"2016-10-17 00:00:00",26523,-3859
"2016-10-18 00:00:00",26927,-3906
"2016-10-19 00:00:00",27322,-3971
"2016-10-20 00:00:00",27716,-4029
"2016-10-21 00:00:00",28049,-4071
"2016-10-22 00:00:00",28405,-4127
"2016-10-23 00:00:00",28904,-4194
"2016-10-24 00:00:00",29431,-4248
"2016-10-25 00:00:00",29807,-4302
"2016-10-26 00:00:00",30150,-4328
"2016-10-27 00:00:00",30460,-4371
"2016-10-28 00:00:00",30824,-4439
"2016-10-29 00:00:00",31247,-4490
"2016-10-30 00:00:00",31782,-4602
"2016-10-31 00:00:00",32261,-4671
"2016-11-01 00:00:00",32642,-4721
"2016-11-02 00:00:00",33057,-4773
"2016-11-03 00:00:00",33461,-4811
"2016-11-04 00:00:00",33804,-4870
