"DateTime","Positive reviews","Negative reviews"
"2024-12-06 00:00:00",8891,-2942
"2024-12-07 00:00:00",17702,-5590
"2024-12-08 00:00:00",21217,-6569
"2024-12-09 00:00:00",29254,-8909
"2024-12-10 00:00:00",36499,-10273
"2024-12-11 00:00:00",42090,-11399
"2024-12-12 00:00:00",46476,-12341
"2024-12-13 00:00:00",48880,-12780
"2024-12-14 00:00:00",53679,-13843
"2024-12-15 00:00:00",56214,-14381
"2024-12-16 00:00:00",59756,-15074
"2024-12-17 00:00:00",63290,-15818
"2024-12-18 00:00:00",65535,-16252
"2024-12-19 00:00:00",69997,-17111
"2024-12-20 00:00:00",71933,-17501
"2024-12-21 00:00:00",76123,-18396
"2024-12-22 00:00:00",77299,-18620
"2024-12-23 00:00:00",79863,-19134
"2024-12-24 00:00:00",82242,-19623
"2024-12-25 00:00:00",84173,-20026
"2024-12-26 00:00:00",86156,-20430
"2024-12-27 00:00:00",88248,-20926
"2024-12-28 00:00:00",90417,-21437
"2024-12-29 00:00:00",93244,-22142
"2024-12-30 00:00:00",95615,-22664
"2024-12-31 00:00:00",96851,-22935
"2025-01-01 00:00:00",98542,-23519
"2025-01-02 00:00:00",100351,-24030
"2025-01-03 00:00:00",102278,-24521
"2025-01-04 00:00:00",104863,-25203
"2025-01-05 00:00:00",106352,-25586
"2025-01-06 00:00:00",109074,-26242
"2025-01-07 00:00:00",110409,-26494
"2025-01-08 00:00:00",112988,-26992
"2025-01-09 00:00:00",114770,-27318
"2025-01-10 00:00:00",114770,-27318
