"DateTime","Positive reviews","Negative reviews"
"2015-05-13 00:00:00",242970,-8512
"2015-05-14 00:00:00",243041,-8517
"2015-05-15 00:00:00",243283,-8529
"2015-05-16 00:00:00",243483,-8543
"2015-05-17 00:00:00",243785,-8557
"2015-05-18 00:00:00",244098,-8564
"2015-05-19 00:00:00",244284,-8571
"2015-05-20 00:00:00",244497,-8586
"2015-05-21 00:00:00",244713,-8602
"2015-05-22 00:00:00",244928,-8610
"2015-05-23 00:00:00",245178,-8627
"2015-05-24 00:00:00",245373,-8640
"2015-05-25 00:00:00",245672,-8656
"2015-05-26 00:00:00",245937,-8672
"2015-05-27 00:00:00",246150,-8680
"2015-05-28 00:00:00",246402,-8694
"2015-05-29 00:00:00",246656,-8703
"2015-05-30 00:00:00",246880,-8715
"2015-05-31 00:00:00",247142,-8742
"2015-06-01 00:00:00",247142,-8742
"2015-06-02 00:00:00",247676,-8757
"2015-06-03 00:00:00",247908,-8768
"2015-06-04 00:00:00",248171,-8777
"2015-06-05 00:00:00",248399,-8802
"2015-06-06 00:00:00",248671,-8823
"2015-06-07 00:00:00",248946,-8832
"2015-06-08 00:00:00",249264,-8855
"2015-06-09 00:00:00",249530,-8868
"2015-06-10 00:00:00",249834,-8894
"2015-06-11 00:00:00",250062,-8910
"2015-06-12 00:00:00",250377,-8921
"2015-06-13 00:00:00",250800,-8950
"2015-06-14 00:00:00",251263,-8969
"2015-06-15 00:00:00",251730,-8989
"2015-06-16 00:00:00",252092,-9014
"2015-06-17 00:00:00",252498,-9025
"2015-06-18 00:00:00",252874,-9055
"2015-06-19 00:00:00",253178,-9075
"2015-06-20 00:00:00",253525,-9107
"2015-06-21 00:00:00",253873,-9131
"2015-06-22 00:00:00",254248,-9154
"2015-06-23 00:00:00",254579,-9172
"2015-06-24 00:00:00",254839,-9193
"2015-06-25 00:00:00",255098,-9210
"2015-06-26 00:00:00",255371,-9216
"2015-06-27 00:00:00",255604,-9239
"2015-06-28 00:00:00",255896,-9258
"2015-06-29 00:00:00",256161,-9277
"2015-06-30 00:00:00",256445,-9291
"2015-07-01 00:00:00",256745,-9308
"2015-07-02 00:00:00",256951,-9309
"2015-07-03 00:00:00",257239,-9394
"2015-07-04 00:00:00",257681,-9599
"2015-07-05 00:00:00",258080,-9711
"2015-07-06 00:00:00",258453,-9812
"2015-07-07 00:00:00",258801,-9892
"2015-07-08 00:00:00",259158,-9933
"2015-07-09 00:00:00",259411,-9979
"2015-07-10 00:00:00",259747,-10033
"2015-07-11 00:00:00",260048,-10061
"2015-07-12 00:00:00",260321,-10075
"2015-07-13 00:00:00",260622,-10102
"2015-07-14 00:00:00",260860,-10125
"2015-07-15 00:00:00",261073,-10143
"2015-07-16 00:00:00",261294,-10163
"2015-07-17 00:00:00",261546,-10189
"2015-07-18 00:00:00",261783,-10210
"2015-07-19 00:00:00",262060,-10226
"2015-07-20 00:00:00",262245,-10240
"2015-07-21 00:00:00",262529,-10258
"2015-07-22 00:00:00",262832,-10274
"2015-07-23 00:00:00",263117,-10298
"2015-07-24 00:00:00",263343,-10308
"2015-07-25 00:00:00",263595,-10339
"2015-07-26 00:00:00",263838,-10355
"2015-07-27 00:00:00",264086,-10365
"2015-07-28 00:00:00",264336,-10375
"2015-07-29 00:00:00",264575,-10391
"2015-07-30 00:00:00",264807,-10409
"2015-07-31 00:00:00",265066,-10425
"2015-08-01 00:00:00",265347,-10443
"2015-08-02 00:00:00",265572,-10453
"2015-08-03 00:00:00",265795,-10473
"2015-08-04 00:00:00",266025,-10485
"2015-08-05 00:00:00",266280,-10509
"2015-08-06 00:00:00",266522,-10524
"2015-08-07 00:00:00",266751,-10539
"2015-08-08 00:00:00",266978,-10552
"2015-08-09 00:00:00",267234,-10568
"2015-08-10 00:00:00",267506,-10580
"2015-08-11 00:00:00",267726,-10586
"2015-08-12 00:00:00",267988,-10602
"2015-08-13 00:00:00",268264,-10621
"2015-08-14 00:00:00",268494,-10632
"2015-08-15 00:00:00",268787,-10644
"2015-08-16 00:00:00",269000,-10658
"2015-08-17 00:00:00",269293,-10673
"2015-08-18 00:00:00",269556,-10689
"2015-08-19 00:00:00",269787,-10700
"2015-08-20 00:00:00",270064,-10729
"2015-08-21 00:00:00",270304,-10743
"2015-08-22 00:00:00",270567,-10758
"2015-08-23 00:00:00",270845,-10777
"2015-08-24 00:00:00",271079,-10791
"2015-08-25 00:00:00",271315,-10808
"2015-08-26 00:00:00",271566,-10824
"2015-08-27 00:00:00",271778,-10833
"2015-08-28 00:00:00",271989,-10853
"2015-08-29 00:00:00",272213,-10874
"2015-08-30 00:00:00",272510,-10887
"2015-08-31 00:00:00",272745,-10913
"2015-09-01 00:00:00",272942,-10931
"2015-09-02 00:00:00",273163,-10942
"2015-09-03 00:00:00",273397,-10953
"2015-09-04 00:00:00",273598,-10961
"2015-09-05 00:00:00",273821,-10970
"2015-09-06 00:00:00",274110,-10988
"2015-09-07 00:00:00",274359,-11010
"2015-09-08 00:00:00",274566,-11019
"2015-09-09 00:00:00",274817,-11039
"2015-09-10 00:00:00",274961,-11047
"2015-09-11 00:00:00",275153,-11051
"2015-09-12 00:00:00",275380,-11055
"2015-09-13 00:00:00",275617,-11067
"2015-09-14 00:00:00",275895,-11089
"2015-09-15 00:00:00",276122,-11092
"2015-09-16 00:00:00",276315,-11106
"2015-09-17 00:00:00",276506,-11116
"2015-09-18 00:00:00",276676,-11129
"2015-09-19 00:00:00",276820,-11141
"2015-09-20 00:00:00",277097,-11147
"2015-09-21 00:00:00",277345,-11182
"2015-09-22 00:00:00",277515,-11194
"2015-09-23 00:00:00",277693,-11204
"2015-09-24 00:00:00",277878,-11212
"2015-09-25 00:00:00",278067,-11232
"2015-09-26 00:00:00",278266,-11244
"2015-09-27 00:00:00",278530,-11257
"2015-09-28 00:00:00",278785,-11259
"2015-09-29 00:00:00",278928,-11265
"2015-09-30 00:00:00",279141,-11286
"2015-10-01 00:00:00",279335,-11297
"2015-10-02 00:00:00",279531,-11306
"2015-10-03 00:00:00",279739,-11319
"2015-10-04 00:00:00",279966,-11329
"2015-10-05 00:00:00",280270,-11344
"2015-10-06 00:00:00",280477,-11360
"2015-10-07 00:00:00",280689,-11390
"2015-10-08 00:00:00",280884,-11408
"2015-10-09 00:00:00",281039,-11429
"2015-10-10 00:00:00",281312,-11455
"2015-10-11 00:00:00",281606,-11469
"2015-10-12 00:00:00",281804,-11486
"2015-10-13 00:00:00",282003,-11516
"2015-10-14 00:00:00",282208,-11520
"2015-10-15 00:00:00",282366,-11526
"2015-10-16 00:00:00",282519,-11530
"2015-10-17 00:00:00",282805,-11540
"2015-10-18 00:00:00",282994,-11552
"2015-10-19 00:00:00",283265,-11570
"2015-10-20 00:00:00",283431,-11570
"2015-10-21 00:00:00",283607,-11579
"2015-10-22 00:00:00",283756,-11591
"2015-10-23 00:00:00",283914,-11591
"2015-10-24 00:00:00",284135,-11600
"2015-10-25 00:00:00",284403,-11609
"2015-10-26 00:00:00",284688,-11625
"2015-10-27 00:00:00",284910,-11636
"2015-10-28 00:00:00",285098,-11651
"2015-10-29 00:00:00",285330,-11661
"2015-10-30 00:00:00",285629,-11696
"2015-10-31 00:00:00",286058,-11727
